z	name	symbol	group	period	mass	density	volume	atomic_radii	van_der_waals_radii	covalent_radii	melt	boil	specific_heat	electronegativity	first_ionization_energy	s_elec	p_elec	d_elec	f_elec	production	radioactive	scattering_factors	HHI_P	HHI_R
3	Lithium	Li	1	2	6.94099998474	0.533999979496	18.3299999237	145	182	134	453.850006104	1615	3.58200001717	0.980000019073	5.39171981812	3	0	0	0	20	0	{'a1': 1.1282, 'c': 0.0377, 'b4': 168.261002, 'a3': 0.6175, 'a2': 0.7508, 'a4': 0.4653, 'b2': 1.0524, 'b3': 85.390503, 'b1': 3.9546}	2900	4200
103	Lawrencium	Lr	3	7	262	-1	-1	-1	-1	-1	-1	-1	-1	1.29999995232	4.90000009537	0	0	0	0	0	0	NULL	0	0
71	Lutetium	Lu	3	0	174.966995239	9.84000015259	29.3500003815	175	-1	160	1936.15002441	3675	0.153999999166	1.26999998093	5.42589998245	2	0	1	14	0.800000011921	0	{'a1': 28.947599, 'c': 7.97628, 'b4': 84.329803, 'a3': 15.1, 'a2': 15.2208, 'a4': 3.71601, 'b2': 9.98519, 'b3': 0.261033, 'b1': 1.90182}	9500	3100
101	Mendelevium	Md	0	7	258	-1	-1	-1	-1	-1	-1	-1	-1	1.29999995232	6.57999992371	0	0	0	0	0	0	NULL	0	0
12	Magnesium	Mg	2	3	24.3050003052	1.73800003529	22.8950004578	150	173	130	923.150024414	1363	1.02300000191	1.30999994278	7.64624023438	2	0	0	0	23300	0	{'a1': 5.4204, 'c': 0.8584, 'b4': 7.1937, 'a3': 1.2269, 'a2': 2.1735, 'a4': 2.3073, 'b2': 79.261101, 'b3': 0.3808, 'b1': 2.8275}	5300	500
25	Manganese	Mn	7	4	54.9379997253	7.44000005722	10.6428003311	140	-1	139	1519.15002441	2334	0.479000002146	1.54999995232	7.43402004242	2	0	5	0	950	0	{'a1': 11.2819, 'c': 1.0896, 'b4': 83.754303, 'a3': 3.0193, 'a2': 7.3573, 'a4': 2.2441, 'b2': 0.3432, 'b3': 17.867399, 'b1': 5.3409}	1600	1800
42	Molybdenum	Mo	6	5	95.9599990845	10.220000267	15.8000001907	145	-1	145	2890.14990234	4912	0.250999987125	2.16000008583	7.09243011475	1	0	5	0	1.20000004768	0	{'a1': 3.7025, 'c': 4.3875, 'b4': 61.658401, 'a3': 12.8876, 'a2': 17.2356, 'a4': 3.7429, 'b2': 1.0958, 'b3': 11.004, 'b1': 0.2772}	2400	5300
109	Meitnerium	Mt	9	7	268	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	NULL	0	0
7	Nitrogen	N	15	2	14.0066995621	0.00125059997663	17.4724998474	65	155	75	63.2900009155	77.3600006104	1.03999996185	3.03999996185	14.5340995789	4	3	0	0	19	0	{'a1': 12.2126, 'c': -11.529, 'b4': 0.5826, 'a3': 2.0125, 'a2': 3.1322, 'a4': 1.1663, 'b2': 9.8933, 'b3': 28.997499, 'b1': 0.0057}	1300	500
11	Sodium	Na	1	3	22.9897994995	0.971000015736	34.1199989319	180	227	154	371.149993896	1156	1.22800004482	0.930000007153	5.13908004761	1	0	0	0	23600	0	{'a1': 4.7626, 'c': 0.676, 'b4': 129.423996, 'a3': 1.2674, 'a2': 3.1736, 'a4': 1.1128, 'b2': 8.8422, 'b3': 0.3136, 'b1': 3.285}	1100	500
